code,course_name,description
AREC435,Commodity Futures and Options,Prerequisite: AREC326; or ECON326; or students who have taken courses with comparable content may contact the department.
AREC447,The Economy of China,"Prerequisite: AREC326, ECON306, or ECON326.  Restriction: Must be in one of the following programs (Agricultural and Resource Economics; Agricultural and Resource Economics: Agribusiness)."
AREC454,The Economics of Climate Change,Prerequisite: ECON326 or AREC326; or students who have taken courses with comparable content may contact the department.  Credit only granted for: AREC454 or AREC489C.  Formerly: AREC489C.
AREC456,Energy and Environmental Economics,Prerequisite: ECON326 or AREC326; or students who have taken courses with comparable content may contact the department.  Credit only granted for: AREC456 or AREC489J.  Formerly: AREC489J.
AREC481,Environmental Economics,"Prerequisite: 1 course with a minimum grade of C- from (AREC326, ECON306, ECON326); and 1 course with a minimum grade of C- from (ECON230, ECON321, BMGT230). Restriction: Must be in one of the following programs (Agricultural and Resource Economics; Agricultural and Resource Economics: Agribusiness; Environmental Science & Policy-Env Economics; Agricultural and Resource Economics: Environmental and Resource Economics; Economics Bachelor of Arts program). Cross-listed with: ECON481. Credit only granted for: ECON481 or AREC481."
AREC610,Microeconomic Applications in Agricultural and Resource Markets,Prerequisite: ECON603.
AREC624,Applied Econometrics II,Prerequisite: AREC623.
AREC783,Environmental Taxation and Regulation,Prerequisite: ECON603 and ECON604; and graduate-level econometrics. Credit only granted for: AREC783 or AREC869W.  Formerly: AREC869W.
AREC784,"Energy Economics, Empirical Industrial Organization, and Public Policy","Prerequisite: ECON603, AREC623, and AREC624; or permission of instructor."
AREC815,Experimental and Behavioral Economics,"Prerequisite: AREC623, AREC624, ECON603, and ECON604; or equivalent. Credit only granted for: AREC815 or AREC869A.  Formerly: AREC869A."
AREC845,Environment and Development Economics,Jointly offered with AREC645.  Credit only granted for: AREC645 or AREC8 45.
ARHU158P,Explorations in Arts and Humanities; Words Matter - A Consideration of the Power of Language,"Cross-listed with ENGL275.  Credit only granted for: ENGL278D, ENGL275,  ARHU319B or ARHU275.  Formerly: ENGL278D; ARHU319B."
ARHU275,"Writing to be Seen: Scriptwriting for Theatre, Film, and Television","Cross-listed with ENGL275.  Credit only granted for: ENGL278D, ENGL275,  ARHU319B or ARHU275.  Formerly: ENGL278D; ARHU319B."
ARHU286,Experiential Learning,Prerequisite: Permission of ARHU-College of Arts & Humanities. Restriction: Minimum cumulative GPA of 2.5; and must be in a major or minor in ARHU - College of Arts and Humanities; and must have earned a minimum of 12 credits; and must not have earned more than 60 credits.
ARHU320,Writers' House Second Year Colloquium:  Writing for Publication,Recommended: Completion of ARHU318 and ARHU319 recommended. Restriction: Currently enrolled in Writers' House or permission of program.  Credit only granted for: ARHU319A or ARHU320.  Formerly: ARHU319A.
ARHU386,Experiential Learning,Prerequisite: Permission of ARHU-College of Arts & Humanities. Restriction: Junior standing or higher.
ARHU486,Internship Practicum in Arts and Humanities,Prerequisite: Have completed previous internship at U of MD. Restriction: Must be in a major in ARHU-College of Arts & Humanities; and permission of ARHU-College of Arts & Humanities; and minimum cumulative GPA of 2.5; and must have earned a minimum of 60 credits; and completed 12 credits at U of MD.
ARMY105,Basic Military Science II,Credit only granted for: ARMY119 or ARMY105.
ARMY105,Basic Military Science II,Credit only granted for: ARMY119 or ARMY105.
ARMY202,Military Leadership in Practice,This course uses the case study method to examine the Army Leadership Model as applied to assigned missions in U.S. history. Students learn to evaluate and assimilate effective leadership methods and techniques. Includes a laboratory period in which case studies are worked out and presented by individuals and groups.
ARMY302,Advanced Military Leadership II,"Prepares contracted students for certification at the Army National Advance Camp, a prerequisite for commissioning as an officer in the U.S. Army. Focus is directed to military tactics, squad and platoon drills, marksmanship, land navigation and fitness excellence. Includes a laboratory period in applied leadership skills as well as a three day field exercise."
ARMY402,Advanced Military Leadership IV,"The military system and code of ethics in the military environment is studied. Topics include code of conduct during all forms of military operations, the Geneva Conventions and the ethical decision making process. Also includes a laboratory in applied leadership skills, fitness excellence and two field exercises."
ARSC059,Air Force Officer Lab,Corequisite: AFROTC cadets must also register for ARSC059.
ARSC101,The USAF Today II,Corequisite: AFROTC cadets must also register for ARSC059.
ARSC201,The Development of Air Power II,Corequisite: AFROTC cadets must also register for ARSC059.
ARSC301,Management and Leadership II,Corequisite: AFROTC cadets must also register for ARSC059; or permission of UGST-AFROTC-Air Science.  Restriction: Junior standing or higher.
ARSC401,National Security Forces in Contemporary American Society II,Prerequisite: ARSC300 or ARSC301; or permission of UGST-AFROTC-Air Science.  Corequisite: ARSC059; or permission of UGST-AFROTC-Air Science.  Restriction: Senior standing.
ARTH200,Art and Society in Ancient and Medieval Europe and the Mediterranean,"Examines the material culture and visual expressions of Mediterranean and European societies from early times until ca. 1300 CE, emphasizing the political, social, and religious context of the works studied, the relationships of the works to the societies that created them, and the interrelationship of these societies."
ARTH200,Art and Society in Ancient and Medieval Europe and the Mediterranean,"Examines the material culture and visual expressions of Mediterranean and European societies from early times until ca. 1300 CE, emphasizing the political, social, and religious context of the works studied, the relationships of the works to the societies that created them, and the interrelationship of these societies."
ARTH201,Art and Society in the West from the Renaissance to the Present,"Examines representative European and American works of art from the later Middle Ages to the present, highlighting the dynamic exchange between artistic and cultural traditions both within periods and across time."
ARTH230,"Symbolic Images: The Theory and Practice of Iconography in European Art, 1400-1850","Iconographic interpretation of visual narratives, signs and symbols has long been a topic of art-historical inquiry.  In early modern European art, images were often conceived with the deliberate intent of posing a 'puzzle' or 'problem' for the beholder to solve; yet in most cases we have little or no evidence of how contemporary beholders solved such enigmas. Provides students with the opportunity to take command of these research methods and source materials, addressing a genuine iconographic problem, researching the relevant literature, identifying the essential primary source evidence, making contextually appropriate assumptions, and producing a valid result."
ARTH255,Art and Society in the Modern American World,"Explores the origins and evolution of art in the modern American world, from the late colonial era to the present, comparing major artistic movements and their historical contexts. Considers the diversity of art across Latin America and the United States, and the ways in which artworks mediate social, ethnic, political, and national identities."
ARTH305,Archaeological Methods and Practice,"Prerequisite: ANTH240, ARTH200, or CLAS180.  Cross-listed with ANTH305,  CLAS305.  Credit only granted for: ANTH305, ARTH305, or CLAS305."
ARTH330,Seventeenth-Century European Art,"Painting, sculpture and architecture concentrating on Italy, Spain, France, and England."
ARTH350,Twentieth-Century Art to 1945,Prerequisite: ARTH201.
ARTH357,History of Photography,Credit only granted for: ARTH357 or ARTH457.
ARTH386,Experiential Learning,Prerequisite: Permission of ARHU-Art History & Archaeology department. Restriction: Junior standing or higher.
ARTT100,Two-Dimensional Design Fundamentals,Principles and elements of two-dimensional design. Introduction to visual communication.
ARTT100,Two-Dimensional Design Fundamentals,Principles and elements of two-dimensional design. Introduction to visual communication.
ARTT110,Elements of Drawing I,"Fundamental concepts, media, and processes of drawing. Emphasis on observation and representation in combination with individual expression. Subject matter includes still life, human figure, nature, the built environment, and conceptual projects."
ARTT150,Introduction to Art Theory,"Fundamental concepts of global, philosophic, and critical art theory examined through various historic and contemporary texts, and the analysis of works of art."
